name,stats,subtext1,subtext2,subtext3,subtext4,author,inspiration,inspiration-source,source,source-url
Elephant,"9 HP, 16 STR, 6 DEX, tusks (d8)",""" • Large tusked animals that dwell near hot forests. Found both alone and in herds.""",""" • With enough open ground for a clear run, it will charge its victims, enhancing damage."""," • Its tusks can be sold for high amounts of gold if removed whole.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Elf,"4 HP, 1 Armor, 8 STR, 14 DEX, 14 WIL, shortswords (d6+d6) or longbow (d8), a Spellbook (choose one: Charm or Detect Magic)",""" • Slender, long-lived, fey humanoids with pointed ears. Live in harmony with nature, adapting to it instead of conquering.""",""" • Highly resistant to charming and mind-controlling effects.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Ettin,"10 HP, 16 STR, 6 WIL, club (d10)",""" • Two-headed giant kin of low intelligence and aggressive behavior. Lay underground and only act in darkness.""",""" • One head it’s always vigilant, preventing being surprised.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Eye of Terror,"12 HP, 12 STR, 8 DEX, 16 WIL, bite (d8+d8)",""" • Floating spheres with a large maw, one big central eye, and several small eyes on stalks scattered through the body. Scheming and greedy, lair deep underground.""",""" • Cancels any magic effect in a nearby range facing its central eye.""",""" • The eyestalks cast one of those spells each round randomly: (1-Charm, 2-Phobia, 3-Telekinesis, 4-Sleep, 5-Shuffle, 6-Vision)""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Fish, Giant Catfish","8 HP, 14 STR, bite (d8+d8)",""" • Pale, 15’ long fish that lurk in the mud at the bottom of lakes and rivers.""",""" • Attack creatures that swim above their hiding spot.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Fish, Giant Electric Eel","2 HP, 12 DEX, bite (d6)",""" • 9’ long eels that live in warm, clear water.""",""" • Able to emit an electric shock, damaging all in the nearby water for d10.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Fish, Giant Pike","4 HP, 14 DEX, bite (d6+d6)",""" • 10’ long, aggressive hunting fish. Dwell in deep lakes.""",""" • Use their great speed to surprise victims.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Fish, Giant Piranha","3 HP, 12 DEX, bite (d8)",""" • 5’ long piranhas with colorful scales. Live in rivers and attack anything in the water.""",""" • Dwell in large groups and overwhelm victims by swarming them."""," • Once it smells blood, it will not stop attacking.",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Fish, Giant Rockfish","5 HP, 1 Armor, 12 STR, spine (d6)",""" • Spiny fish with rock-like scales. Live in saltwater. Normally passive, but attacks if disturbed.""",""" • Camouflages in rocks and coral formations.""",""" • Critical damage: The spines release a highly lethal poison (d4 extra STR damage).""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Fish, Giant Sturgeon","10 HP, 2 Armor. 14 STR",""" • Huge, 30’ long, aggressive armored fish.""",""" • Swallow its victims whole if able.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Fish, Giant Swordfish","3 HP, 12 DEX, sword (d8)",""" • Long saltwater fish with a bone sword on the snout. Mostly peaceful.""",""" • The bone sword might be used as a longsword(d8) if removed whole.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Flail Snail,"4 HP, 2 Armor, 14 STR, 6 DEX, tentacles (d8+d8)",""" • Giant snails with heavy, club-like tentacles and a colorful shell. Dwell underground.""",""" • Its colorful shell can deflect magic, possibly annulling it or reflecting it to its caster.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Gargoyle,"6 HP, 14 STR, 8 DEX, 12 WIL, claws (d6+d6)",""" • Magical creatures that look like monstrous, horned, winged statues.""",""" • Guard places by standing still to pass like inanimate statues and attacking anything that comes near.""",""" • Cannot be charmed and put to sleep.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Gelatinous Cube,"6 HP, 16 STR, 8 DEX, 4 WIL, touch (d8)",""" • Large cubes of transparent jelly, dwell in dungeons absorbing items and living creatures.""",""" • May go undetected due to being transparent.""",""" • Critical damage: Its touch paralyzes victims (d6 DEX damage).""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Ghast,"4 HP, 12 STR, WIL 6, claws (d6+d6)",""" • Grotesque, humanoid undead that craves eating flesh. Found in packs of Ghouls.""",""" • Exhale a strong stench, nauseating nearby living creatures.""",""" • Critical damage: Paralyzes victims (d6 DEX damage). After paralyzing a victim, it moves to another target.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Ghost,"10 HP, 3 Armor, 14 WIL, draining touch (d6)",""" • Incorporeal spirits of the restless dead.""",""" • Can possess victims that fail a WIL save, taking control of their bodies.""",""" • Critical damage: Drains the victim’s life force (d6 extra STR damage).""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Ghoul,"3 HP, 6 WIL, claws (d6)",""" • Grotesque, mindless, humanoid undead that craves the flesh of the living. Frequently found in large groups.""",""" • Critical damage: Paralyzes victims (d6 DEX damage). After paralyzing a victim, it moves to another target.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Giant, Cloud","12 HP, 1 Armor, 19 STR, 12 DEX, 18 WIL, morningstar(d8+d8)",""" • 20’ tall humanoids with hair and skin in tones of grey and white. House in castles built atop the highest mountains or floating in cloud banks.""",""" • Cannot be surprised due to its keen sight and smell senses.""",""" • Can envelop itself in a wind aura, impairing missile attacks.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Giant, Fire","11 HP, 3 Armor, 17 STR, 8 DEX, greatsword (d10+d10)",""" • 16’ tall humanoids with red hair and charcoal skin. Wear heavy armor made of brass, bronze or copper. Dwell in fortresses built near volcanoes.""",""" • Masters of craft and war, know how to forge the finest weaponry.""",""" • Immune to fire and heat.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Giant, Frost","10 HP, 2 Armor, 18 STR, 12 WIL, greataxe (d8+d8)",""" • 18’ tall humanoids with blue-ish skin and pale hair. Wear furs and iron armor.""",""" • Unharmed by cold and ice.""",""" • Excellent trackers, hunt accompanied by dire wolves.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Giant, Hill","8 HP, 15 STR, 6 WIL, great club (d8+d8)",""" • 12’ tall, hairy and brutish humanoids. Dwell in hills and plains.""",""" • Low intelligence, relies only on its ferocity.""",""" • Frequently attack settlements for food.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Giant, Stone","9 HP, 2 Armor, 16 STR, 14 DEX, stone club (d8+d8)",""" • 14’ tall slender humanoids with stone-like gray skin. Dwell in caverns or build primitive homes of stone in valleys.""",""" • Attack victims by throwing rocks at them from far away.""",""" • Can easily camouflage into stone.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Giant, Storm","15 HP, 2 Armor, 20 STR, 14 DEX, 18 WIL, greatsword (d10+d10)",""" • 22’ tall humanoids with bronze-hued skin and light-colored hair. Live in mountain peaks and deep waters.""",""" • Unharmed by lightning, can summon storms at their will.""",""" • Can summon lightning bolts to attack nearby enemies for d12 damage.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Gnoll,"4 HP, 1 Armor, 12 STR, 8 WIL, spear or short bow (d6)",""" • Monstrous humanoid hyenas of low intelligence. Legend says they were created in a wizard’s experiments.""",""" • Attack in large packs, intimidating its victims with numbers.""",""" • Critical damage: the gnoll enters in a rampage after tasting blood, making another attack immediately.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Gnome,"4 HP, 8 STR, 12 DEX, 14 WIL, crossbow (d8, bulky)",""" • Short humanoids with long noses and pointed ears. Live underground or deep in forests.""",""" • Highly intelligent tinkers. Can easily be convinced by the promise of something valuable or uncommon.""",""" • Can see well in the darkness or low light.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Goblin,"4 HP, 8 STR, 12 DEX, 8 WIL, dagger or short bow (d6)",""" • Small, grotesque humanoids with skin in earthly tones of green, brown, and grey.""",""" • Avoid combat, only attacking when in advantage, using hit-and-run tactics.""",""" • Sometimes are found using dire wolves as mounts.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Golem, Amber","10 HP, 3 Armor, 16 STR, 12 DEX, 14 WIL, claws (d8)",""" • Artificial constructs made in the shape of giant felines. Created by wizards in a slow and complex process.""",""" • Track without error, able to see invisible creatures nearby.""",""" • Immune to mundane attacks, gas, and mind-controlling effects.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Golem, Bone","8 HP, 2 Armor, 15 STR, 8 WIL, arms (d8, blast)",""" • 6’ tall humanoid constructs made of human bone. Have 4 arms spread around their torso.""",""" • Immune to mundane attacks, fire, cold, and electricity.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Golem, Bronze","20 HP, 3 Armor, 20 STR, 8 DEX, 11 WIL, fists (d10+d10)",""" • Towering constructs made of pure bronze. Reassemble fire giants, and emanate strong heat.""",""" • Immune to mundane attacks and fire.""",""" • When it suffers slashing or piercing damage to its STR, spurts a burning liquid, damaging the attacker for 2d6.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Golem, Clay","11 HP, 2 Armor, 15 STR, 7 DEX, 8 WIL, fists (d8)",""" • 8’ tall humanoid statues made of baked clay and animated by dark magics.""",""" • Immune to mundane attacks and fire. Resistant to weapon damage that is not bludgeoning.""",""" • Critical Damage: Inflicts a curse on the victim, STR cannot be healed until the curse is lifted.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Golem, Flesh","9 HP, 1 Armor, 15 STR, 8 DEX, 8 WIL, fists (d8)",""" • 7’ tall humanoid abominations made of flesh stitched together.""",""" • Immune to mundane attacks, fire, and cold.""",""" • Absorb electricity damage received, healing HP by the same amount instead.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Golem, Iron","18 HP, 3 Armor, 18 STR, 8 WIL, sword (d10+d10)",""" • 12’ humanoid statues forged with fire and magic. Wield massive swords of iron.""",""" • Immune to mundane attacks, electricity, and cold.""",""" • Absorb electricity damage received, healing HP by the same amount instead.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Golem, Stone","14 HP, 3 Armor, 17 STR, 8 DEX, fists (d10)",""" • 10’ tall animated statues carved from pure stone.""",""" • Immune to mundane attacks, fire, cold, and electricity.""",""" • Emits a magic aura that slows the movement of nearby creatures.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
